x_data|y_data
who can ignore primal biological signals and maintain weight los|ho can ignore primal biological signals and maintain weight loss
s for the long term by restricting calories,” he said, but he ad| for the long term by restricting calories,” he said, but he add
ded that “for most people, the combination of incessant hunger a|ed that “for most people, the combination of incessant hunger an
nd slowing metabolism is a recipe for weight regain — explaining|d slowing metabolism is a recipe for weight regain — explaining 
 why so few individuals can maintain weight loss for more than a|why so few individuals can maintain weight loss for more than a 
 few months. ” Dr. Rosenbaum agreed. “The difficulty in keeping |few months. ” Dr. Rosenbaum agreed. “The difficulty in keeping w
weight off reflects biology, not a pathological lack of willpowe|eight off reflects biology, not a pathological lack of willpower
r affecting of the U. S. A. ,” he said. Mr. Cahill knows that no| affecting of the U. S. A. ,” he said. Mr. Cahill knows that now
w. And with his report from Dr. Hall’s group showing just how mu|. And with his report from Dr. Hall’s group showing just how muc
ch his metabolism had slowed, he stopped blaming himself for his|h his metabolism had slowed, he stopped blaming himself for his 
 weight gain. “That shame that was on my shoulders went off,” he|weight gain. “That shame that was on my shoulders went off,” he 
 said|said.
Just how is Hillary Kerr, the founder of a digital media company|ust how is Hillary Kerr, the founder of a digital media company 
 in Los Angeles? She can tell you what song was playing five yea|in Los Angeles? She can tell you what song was playing five year
rs ago on the jukebox at the bar where she somewhat randomly met|s ago on the jukebox at the bar where she somewhat randomly met 
 the man who became her husband. It was “These Days,” the versio|the man who became her husband. It was “These Days,” the version
n sung by Nico, the German made famous by Andy Warhol and the Ve| sung by Nico, the German made famous by Andy Warhol and the Vel
lvet Underground. Actually, the song had been playing just befor|vet Underground. Actually, the song had been playing just before
e she met Jonathan Leahy, now 38, on that December night in 2011| she met Jonathan Leahy, now 38, on that December night in 2011 
 at the 4100 Bar in the Silver Lake district of Los Angeles. Ms.|at the 4100 Bar in the Silver Lake district of Los Angeles. Ms. 
 Kerr can’t remember exactly what was playing when they met beca|Kerr can’t remember exactly what was playing when they met becau
use at that moment she was jumping up and down “like Tigger,” as|se at that moment she was jumping up and down “like Tigger,” as 
 she put it. In answering the usual questions, Mr. Leahy told he|she put it. In answering the usual questions, Mr. Leahy told her
r he was a music supervisor for “Girls,” the HBO show created by| he was a music supervisor for “Girls,” the HBO show created by 
 and starring Lena Dunham. That was enough to get Ms. Kerr bounc|and starring Lena Dunham. That was enough to get Ms. Kerr bounci
ing. “Your music has changed my life!” she told Mr. Leahy. Mr. L|ng. “Your music has changed my life!” she told Mr. Leahy. Mr. Le
eahy, who is quiet but not shy (at least he doesn’t jump up and |ahy, who is quiet but not shy (at least he doesn’t jump up and d
down upon meeting people) was mesmerized. “My main reaction,” he|own upon meeting people) was mesmerized. “My main reaction,” he 
 said, “was it’s a lot easier to talk to beautiful women in a ba|said, “was it’s a lot easier to talk to beautiful women in a bar
r when you’re working on a hit show. ” They exchanged email addr| when you’re working on a hit show. ” They exchanged email addre
esses, more an act of politeness than promise. Then their soundt|sses, more an act of politeness than promise. Then their soundtr
rack went quiet for almost a year. Both Mr. Leahy and Ms. Kerr h|ack went quiet for almost a year. Both Mr. Leahy and Ms. Kerr ha
ad active social lives, but they were focused on their careers. |d active social lives, but they were focused on their careers. M
Mr. Leahy, who grew up in Laconia, N. H. graduated from the Coll|r. Leahy, who grew up in Laconia, N. H. graduated from the Colle
ege of William and Mary in Williamsburg, Va. in 2000 and landed |ge of William and Mary in Williamsburg, Va. in 2000 and landed i
in Los Angeles later that year. Now he is a music supervisor wit|n Los Angeles later that year. Now he is a music supervisor with
h Aperture Music and is joined by Manish Raval and Tom Wolfe in | Aperture Music and is joined by Manish Raval and Tom Wolfe in b
being responsible for the music on “Girls. ” The team has also w|eing responsible for the music on “Girls. ” The team has also wo
orked on films including “Trainwreck” and television series such|rked on films including “Trainwreck” and television series such 
 as “New Girl. ” In addition, Mr. Leahy is the music supervisor |as “New Girl. ” In addition, Mr. Leahy is the music supervisor f
for “Survivor’s Remorse” on Starz. Ms. Kerr grew up in the La Jo|or “Survivor’s Remorse” on Starz. Ms. Kerr grew up in the La Jol
lla section of San Diego, graduated from the University of South|la section of San Diego, graduated from the University of Southe
ern California in 2000 and eventually made her way to New York, |rn California in 2000 and eventually made her way to New York, w
where she took a job as an assistant at Elle magazine. In 2005 s|here she took a job as an assistant at Elle magazine. In 2005 sh
he moved back to the West Coast, to Los Angeles, and with a fell|e moved back to the West Coast, to Los Angeles, and with a fello
ow Elle alum, Katherine Power, created a company best known for |w Elle alum, Katherine Power, created a company best known for i
its website, Who What Wear, which casts an eye on celebrity cult|ts website, Who What Wear, which casts an eye on celebrity cultu
ure and fashion it now has 13 million monthly unique visitors. M|re and fashion it now has 13 million monthly unique visitors. Ms
s. Kerr and Ms. Power also started the Who What Wear clothing an|. Kerr and Ms. Power also started the Who What Wear clothing and
d accessories line sold at Target. It was nine months after thei| accessories line sold at Target. It was nine months after their
r initial meeting that Mr. Leahy emailed Ms. Kerr. He had a frie| initial meeting that Mr. Leahy emailed Ms. Kerr. He had a frien
nd who wanted to get into the fashion industry. Ms. Kerr, Mr. Le|d who wanted to get into the fashion industry. Ms. Kerr, Mr. Lea
ahy and his friend met for a long, boozy brunch. They began to e|hy and his friend met for a long, boozy brunch. They began to em
mail and text a bit. “There was banter,” Ms. Kerr said, but neit|ail and text a bit. “There was banter,” Ms. Kerr said, but neith
her knew the interest or intention of the other. A few months la|er knew the interest or intention of the other. A few months lat
ter, she texted to ask if he could help her score a ticket to se|er, she texted to ask if he could help her score a ticket to see
e the band Lord Huron. Mr. Leahy happens to be a friend of Ben S| the band Lord Huron. Mr. Leahy happens to be a friend of Ben Sc
chneider, the band’s lead singer, and had an extra ticket. “This|hneider, the band’s lead singer, and had an extra ticket. “This 
 was one of those moments where the universe conspires to make y|was one of those moments where the universe conspires to make yo
ou seem cooler than you actually are,” Mr. Leahy said. He and Ms|u seem cooler than you actually are,” Mr. Leahy said. He and Ms.
. Kerr met up at the show. That is when Mr. Leahy and Ms. Kerr m| Kerr met up at the show. That is when Mr. Leahy and Ms. Kerr mo
oved into the ambiguous “mixtape era,” in which for months they |ved into the ambiguous “mixtape era,” in which for months they e
emailed and texted each other with coy “are we just friends or w|mailed and texted each other with coy “are we just friends or wh
hat” texts revolving around music. For example, Ms. Kerr was vis|at” texts revolving around music. For example, Ms. Kerr was visi
iting New York and texted Mr. Leahy a request for “walking aroun|ting New York and texted Mr. Leahy a request for “walking around
d SoHo music. ” He sent her a link to “Love Me Again,” by John N| SoHo music. ” He sent her a link to “Love Me Again,” by John Ne
ewman. It has a club vibe but romantic lyrics. “I wanted to read|wman. It has a club vibe but romantic lyrics. “I wanted to read 
 into it,” Ms. Kerr said, but she figured (correctly, it turns o|into it,” Ms. Kerr said, but she figured (correctly, it turns ou
ut) that her new friend was a bit of a clueless guy who didn’t s|t) that her new friend was a bit of a clueless guy who didn’t sp
pend much time thinking about how a woman might react to such a |end much time thinking about how a woman might react to such a s
song being shared with her. Another time he emailed her a link t|ong being shared with her. Another time he emailed her a link to
o a Fleetwood Mac version of “Need Your Love So Bad. ” After lis| a Fleetwood Mac version of “Need Your Love So Bad. ” After list
tening to it, Ms. Kerr said, “I called my friend Katie. ” “At th|ening to it, Ms. Kerr said, “I called my friend Katie. ” “At tha
at time,” she continued, “I just referred to him as ‘the supervi|t time,” she continued, “I just referred to him as ‘the supervis
sor.’ She knew I had a crush on him. She said, ‘How can it not m|or.’ She knew I had a crush on him. She said, ‘How can it not me
ean something? ’” Mr. Leahy acknowledged that it might be diffic|an something? ’” Mr. Leahy acknowledged that it might be difficu
ult for a person to think he was not sending Ms. Kerr a message |lt for a person to think he was not sending Ms. Kerr a message w
with this song. “I sort of thought, ‘Maybe it’s too much. ’” But|ith this song. “I sort of thought, ‘Maybe it’s too much. ’” But 
 he shared it with her anyway. (This is the same man who sent he|he shared it with her anyway. (This is the same man who sent her
r the song “BedBedBedBedBed, Vacationer Remix,” by Deleted Scene| the song “BedBedBedBedBed, Vacationer Remix,” by Deleted Scenes
s, “during the friend phase,” Ms. Kerr said.) Ms. Kerr played th|, “during the friend phase,” Ms. Kerr said.) Ms. Kerr played the
e game, too. She made Mr. Leahy a mix CD (handwritten liner note| game, too. She made Mr. Leahy a mix CD (handwritten liner notes
s and all) that she titled “Feynman Diagrams for All,” after Mr.| and all) that she titled “Feynman Diagrams for All,” after Mr. 
 Leahy told her in a text conversation that he thought the idea |Leahy told her in a text conversation that he thought the idea o
of Feynman diagrams — in which physicists map out the interactio|f Feynman diagrams — in which physicists map out the interaction
ns of subatomic particles — was romantic. On the mix, Ms. Kerr i|s of subatomic particles — was romantic. On the mix, Ms. Kerr in
ncluded the Mazzy Star song “I’ve Been Let Down. ” It was “a bit|cluded the Mazzy Star song “I’ve Been Let Down. ” It was “a bit 
 of an Easter egg of my actual feelings,” she said. Around this |of an Easter egg of my actual feelings,” she said. Around this t
time, Ms. Kerr texted Mr. Leahy a photo of the drink menu from a|ime, Ms. Kerr texted Mr. Leahy a photo of the drink menu from a 
 bar, the Roger Room. She had focused on a drink named for the s|bar, the Roger Room. She had focused on a drink named for the so
ong “Christmas Card From a Hooker in Minneapolis,” which happens|ng “Christmas Card From a Hooker in Minneapolis,” which happens 
 to be Mr. Leahy’s favorite Tom Waits tune. “This made me rethin|to be Mr. Leahy’s favorite Tom Waits tune. “This made me rethink
k things a bit,” he said, adding, “Hillary Kerr was clearly not | things a bit,” he said, adding, “Hillary Kerr was clearly not t
to be trifled with. ” In early 2014, Mr. Leahy invited her to a |o be trifled with. ” In early 2014, Mr. Leahy invited her to a B
Bleachers concert. The band’s lead singer is Jack Antonoff, who |leachers concert. The band’s lead singer is Jack Antonoff, who i
is Ms. Dunham’s boyfriend. Ms. Dunham was at the concert as well|s Ms. Dunham’s boyfriend. Ms. Dunham was at the concert as well,
, and on meeting Ms. Kerr, she said, “I’ve heard so much about y| and on meeting Ms. Kerr, she said, “I’ve heard so much about yo
ou. ” Ms. Kerr and Mr. Leahy shared their first kiss that night.|u. ” Ms. Kerr and Mr. Leahy shared their first kiss that night. 
 He proposed to her on Polihale Beach in Kauai, Hawaii, on Jan. |He proposed to her on Polihale Beach in Kauai, Hawaii, on Jan. 1
1, 2016. On Dec. 10, 125 friends and relatives gathered in Palm |, 2016. On Dec. 10, 125 friends and relatives gathered in Palm S
Springs, Calif. at the Colony Palms Hotel, which was opened in 1|prings, Calif. at the Colony Palms Hotel, which was opened in 19
936 by the reputed mobster Al Wertheimer and whose poolside gues|36 by the reputed mobster Al Wertheimer and whose poolside guest
ts have included Frank Sinatra, Ronald Reagan, Kirk Douglas and |s have included Frank Sinatra, Ronald Reagan, Kirk Douglas and Z
Zsa Zsa Gabor. Ms. Kerr walked down a grassy aisle in a courtyar|sa Zsa Gabor. Ms. Kerr walked down a grassy aisle in a courtyard
d wearing a structured lace Reem Acra dress, strapless with a bu| wearing a structured lace Reem Acra dress, strapless with a bus
stier and a full skirt. Four musicians played “Once, With Feelin|tier and a full skirt. Four musicians played “Once, With Feeling
g,” an instrumental song Mr. Leahy wrote for Ms. Kerr. . Just mi|,” an instrumental song Mr. Leahy wrote for Ms. Kerr. . Just min
nutes into the cocktail reception, a few of Ms. Kerr’s best frie|utes into the cocktail reception, a few of Ms. Kerr’s best frien
nds descended upon her. Jen Atkin, the celebrity hairstylist and|ds descended upon her. Jen Atkin, the celebrity hairstylist and 
 social media star, started fussing with the flower she had sewn|social media star, started fussing with the flower she had sewn 
 into the bride’s hair. Joey Maalouf, the celebrity makeup artis|into the bride’s hair. Joey Maalouf, the celebrity makeup artist
t who is a creator of the service the Glam App, whipped out a tu| who is a creator of the service the Glam App, whipped out a tub
be of lip gloss and reapplied it to the bride’s pucker. He had d|e of lip gloss and reapplied it to the bride’s pucker. He had do
one her makeup. “The look we went for is sickeningly stunning an|ne her makeup. “The look we went for is sickeningly stunning and
d perfect,” he said. Guests mingled over drinks by the pool, whi| perfect,” he said. Guests mingled over drinks by the pool, whic
ch was framed by banquette tables lit from above by strings of b|h was framed by banquette tables lit from above by strings of bu
ulbs. The sky turned pink before the stars appeared, and guests |lbs. The sky turned pink before the stars appeared, and guests s
snapped photos and shared them with the hundreds of thousands wh|napped photos and shared them with the hundreds of thousands who
o follow these members of the illuminati (#imwithkerr and #letsg| follow these members of the illuminati (#imwithkerr and #letsge
etleahyed). “This looks like it’s art directed,” Eva Chen, the h|tleahyed). “This looks like it’s art directed,” Eva Chen, the he
ead of fashion partnerships for Instagram, said as she took it a|ad of fashion partnerships for Instagram, said as she took it al
ll in. She had worked as an assistant at Elle with Ms. Kerr. Fri|l in. She had worked as an assistant at Elle with Ms. Kerr. Frie
ends of both the bride and the groom celebrated what they saw as|nds of both the bride and the groom celebrated what they saw as 
 a great match, based on passion not only for each other but als|a great match, based on passion not only for each other but also
o for music. Leigh Belz Ray, the features and news director at I| for music. Leigh Belz Ray, the features and news director at In
nStyle, was another former Elle colleague who made the trip. “Hi|Style, was another former Elle colleague who made the trip. “Hil
llary loves music, and it’s not just a casual thing,” Ms. Ray sa|lary loves music, and it’s not just a casual thing,” Ms. Ray sai
id. “We used to say the ultimate fantasy was to become a music d|d. “We used to say the ultimate fantasy was to become a music di
irector, and now she’s married to one. ” After a romantic first |rector, and now she’s married to one. ” After a romantic first d
dance to Solomon Burke’s “If You Need Me,” Mr. and Mrs. Leahy (s|ance to Solomon Burke’s “If You Need Me,” Mr. and Mrs. Leahy (sh
he will use her maiden name professionally) settled into several|e will use her maiden name professionally) settled into several 
 hours of serious dancing to songs spun by a D. J. And before th|hours of serious dancing to songs spun by a D. J. And before the
ey left for their Hawaiian honeymoon, Mr. Leahy completed his fi|y left for their Hawaiian honeymoon, Mr. Leahy completed his fir
rst important act as husband. He pulled together many of the son|st important act as husband. He pulled together many of the song
gs that could be considered the soundtrack to their romance and |s that could be considered the soundtrack to their romance and m
made his wife a mixtape. When Dec. 10, 2016 Where Colony Palms H|ade his wife a mixtape. When Dec. 10, 2016 Where Colony Palms Ho
otel, Palm Springs, Calif. Flora The bride and groom were marrie|tel, Palm Springs, Calif. Flora The bride and groom were married
d under a white birch trellis, because white birch is the state | under a white birch trellis, because white birch is the state t
tree of New Hampshire, where Mr. Leahy grew up and where his par|ree of New Hampshire, where Mr. Leahy grew up and where his pare
ents, Richard and Marie Leahy, reside. The structure was wrapped|nts, Richard and Marie Leahy, reside. The structure was wrapped 
 in white peonies, Sahara roses and camellia greens. Readings Mr|in white peonies, Sahara roses and camellia greens. Readings Mr.
. Leahy’s family is Roman Catholic Ms. Kerr’s parents, John and | Leahy’s family is Roman Catholic Ms. Kerr’s parents, John and C
Carole Kerr, are more spiritual than religiously observant. Many|arole Kerr, are more spiritual than religiously observant. Many 
 of the guests had an artistic bent. The bride and groom planned|of the guests had an artistic bent. The bride and groom planned 
 accordingly. Marshall Goldsmith, an executive coach, author and|accordingly. Marshall Goldsmith, an executive coach, author and 
 lifelong family friend of Ms. Kerr, officiated. Friends and rel|lifelong family friend of Ms. Kerr, officiated. Friends and rela
atives stood to read poems from James Kavanaugh and Mary Oliver,|tives stood to read poems from James Kavanaugh and Mary Oliver, 
 as well as a passage from the Supreme Court’s 2015 ruling legal|as well as a passage from the Supreme Court’s 2015 ruling legali
izing marriage. “A little Catholic priest, a little lesbian Puli|zing marriage. “A little Catholic priest, a little lesbian Pulit
tzer Prize winner, a little equal rights for all,” Ms. Kerr expl|zer Prize winner, a little equal rights for all,” Ms. Kerr expla
ained after the ceremony|ined after the ceremony.
Angels are everywhere in the Muñiz family’s apartment in the Bro|ngels are everywhere in the Muñiz family’s apartment in the Bron
nx: paintings of angels on the wall, ceramic angels flanking the|x: paintings of angels on the wall, ceramic angels flanking the 
 ancient VCR, angels strumming lyres or blowing little golden tr|ancient VCR, angels strumming lyres or blowing little golden tru
umpets on the bathroom shelves. As José and Zoraida Muñiz and th|mpets on the bathroom shelves. As José and Zoraida Muñiz and the
eir children have struggled to deal with a series of trials and |ir children have struggled to deal with a series of trials and s
setbacks, including cancer, debilitating epilepsy, deep depressi|etbacks, including cancer, debilitating epilepsy, deep depressio
on and near eviction, it has sometimes seemed as if angels and l|n and near eviction, it has sometimes seemed as if angels and lo
ove were the only forces holding things together. Zoraida’s earl|ve were the only forces holding things together. Zoraida’s early
y life in Puerto Rico was like something from a tropical Dickens| life in Puerto Rico was like something from a tropical Dickens 
 novel. She and her siblings and mother built a house by hand af|novel. She and her siblings and mother built a house by hand aft
ter a hurricane ravaged their home and the children’s father wit|er a hurricane ravaged their home and the children’s father with
hdrew support. Then Zoraida’s grandfather — the father of her ab|drew support. Then Zoraida’s grandfather — the father of her abs
sent father — destroyed the house in a rage. She was barely a te|ent father — destroyed the house in a rage. She was barely a tee
enager when she met José, a Vietnam War veteran. With permission|nager when she met José, a Vietnam War veteran. With permission 
 from her uncle, a judge, they were married. She was 14. He was |from her uncle, a judge, they were married. She was 14. He was 2
29. They moved to New York in 1983 and started a new life. He bu|9. They moved to New York in 1983 and started a new life. He bui
ilt boilers. She worked in construction, using skills she learne|lt boilers. She worked in construction, using skills she learned
d as a child, and in a clothing store. But in 1987, Mr. Muñiz be| as a child, and in a clothing store. But in 1987, Mr. Muñiz beg
gan having violent seizures — eight or 10 a day. They did not re|an having violent seizures — eight or 10 a day. They did not res
spond to medication. He could no longer work. She stopped workin|pond to medication. He could no longer work. She stopped working
g to take care of him. Still determined to live something like a| to take care of him. Still determined to live something like a 
 normal life, they started a family. Their first child, José Jr.|normal life, they started a family. Their first child, José Jr. 
 had a heart defect. By the time he was 2 he had had six operati|had a heart defect. By the time he was 2 he had had six operatio
ons. That’s where the angels came in — the first one was a paint|ns. That’s where the angels came in — the first one was a painti
ing, a gift from a cousin. “When they operated on my son, they t|ng, a gift from a cousin. “When they operated on my son, they to
old me he was an angel, because he was supposed to die,” Ms. Muñ|ld me he was an angel, because he was supposed to die,” Ms. Muñi
iz, 50, said. “From there I figured that angels are taking care |z, 50, said. “From there I figured that angels are taking care o
of me and protecting me and my family. ” All the angels are gift|f me and protecting me and my family. ” All the angels are gifts
s from friends and relatives, or picked up off the street, just | from friends and relatives, or picked up off the street, just l
like all the furniture in the Muñizes’ overstuffed apartment in |ike all the furniture in the Muñizes’ overstuffed apartment in a
a complex on Westchester Avenue in the Bronx, much of it restore| complex on Westchester Avenue in the Bronx, much of it restored
d by Ms. Muñiz. “So many people throw away things, so I don’t ha| by Ms. Muñiz. “So many people throw away things, so I don’t hav
ve to buy,” she said. A second son, Jesus, became epileptic at 3|e to buy,” she said. A second son, Jesus, became epileptic at 3.
. A girl, Maria, completed the family. In 2007, Mr. Muñiz had wh| A girl, Maria, completed the family. In 2007, Mr. Muñiz had wha
at felt like a horrible, stubborn toothache. It turned out to be|t felt like a horrible, stubborn toothache. It turned out to be 
 cancer of the lower jaw. Ms. Muñiz stayed in the room with her |cancer of the lower jaw. Ms. Muñiz stayed in the room with her h
husband while he received radiation treatment. “I’m willing to t|usband while he received radiation treatment. “I’m willing to ta
ake anything with him,” she said. “I never left him alone, and I|ke anything with him,” she said. “I never left him alone, and I 
 never will. ” Radiation did not work. To save Mr. Muñiz’s life,|never will. ” Radiation did not work. To save Mr. Muñiz’s life, 
 surgeons removed his tongue and his lower jaw and cut a hole th|surgeons removed his tongue and his lower jaw and cut a hole thr
rough his esophagus. Disfigured, depressed and unable to speak, |ough his esophagus. Disfigured, depressed and unable to speak, h
he can consume nothing thicker than milk and needs care. This is|e can consume nothing thicker than milk and needs care. This is 
 the household where the Muñiz children grew up. “We’ve been thr|the household where the Muñiz children grew up. “We’ve been thro
ough every craziness,” said José Jr. 24, who has suffered depres|ugh every craziness,” said José Jr. 24, who has suffered depress
sion so severe that he dropped out of college and confined himse|ion so severe that he dropped out of college and confined himsel
lf to the apartment, “every up and down. ” For years at a time, |f to the apartment, “every up and down. ” For years at a time, t
the family held on, seemingly by a thread. Over the summer, the |he family held on, seemingly by a thread. Over the summer, the y
younger son, Jesus, 22, got a job at a Zaro’s Bakery in Manhatta|ounger son, Jesus, 22, got a job at a Zaro’s Bakery in Manhattan
n’s financial district. Because the family’s rent is tied to inc|’s financial district. Because the family’s rent is tied to inco
ome, the rent tripled in August, to about $770 a month from $245|me, the rent tripled in August, to about $770 a month from $245.
. But Jesus had school bills to pay, and the family paid some of| But Jesus had school bills to pay, and the family paid some of 
 the funeral expenses for José Sr. ’s mother, who died over the |the funeral expenses for José Sr. ’s mother, who died over the s
summer, and things began to unravel. They fell behind on the ren|ummer, and things began to unravel. They fell behind on the rent
t and utilities. Food was often scarce. The family regularly ski| and utilities. Food was often scarce. The family regularly skip
pped meals. It was around this time that Ms. Muñiz got in touch |ped meals. It was around this time that Ms. Muñiz got in touch w
with Catholic Charities Archdiocese of New York, one of the eigh|ith Catholic Charities Archdiocese of New York, one of the eight
t organizations supported by The New York Times’s Neediest Cases| organizations supported by The New York Times’s Neediest Cases 
 Fund. It covered their back rent, got them warm coats and blank|Fund. It covered their back rent, got them warm coats and blanke
ets and helped them apply for food stamps for the first time. An|ts and helped them apply for food stamps for the first time. And
d with $600 from the Neediest Cases Fund, the family paid its el| with $600 from the Neediest Cases Fund, the family paid its ele
ectric bill. Things are looking up in some ways. Jesus is return|ctric bill. Things are looking up in some ways. Jesus is returni
ing to college, where he is on a track and wants to be a paramed|ng to college, where he is on a track and wants to be a paramedi
ic. Maria graduated in December from a nursing program. Thinking|c. Maria graduated in December from a nursing program. Thinking 
 of her father and his illness, she wants to be an oncologist. J|of her father and his illness, she wants to be an oncologist. Jo
osé Jr. was just accepted to the New York Film Academy’s photogr|sé Jr. was just accepted to the New York Film Academy’s photogra
aphy program. But José Sr. continues to battle cancer. Zoraida i|phy program. But José Sr. continues to battle cancer. Zoraida is
s severely depressed. What keeps her going? she was asked. She g| severely depressed. What keeps her going? she was asked. She ge
estured toward her family, sitting beside her beneath the painte|stured toward her family, sitting beside her beneath the painted
d angels. “They give me my strength, even if I have times I coll| angels. “They give me my strength, even if I have times I colla
apse,” she said. José Jr. agreed. “I use my parents and siblings|pse,” she said. José Jr. agreed. “I use my parents and siblings 
 as my motivation,” he said. “We’re all there for each other,” M|as my motivation,” he said. “We’re all there for each other,” Ms
s. Muñiz said|. Muñiz said.
With Donald J. Trump about to take control of the White House, i|ith Donald J. Trump about to take control of the White House, it
t would seem a dark time for the renewable energy industry. Afte| would seem a dark time for the renewable energy industry. After
r all, Mr. Trump has mocked the science of global warming as a C| all, Mr. Trump has mocked the science of global warming as a Ch
hinese hoax, threatened to kill a global deal on climate change |inese hoax, threatened to kill a global deal on climate change a
and promised to restore the coal industry to its former glory. S|nd promised to restore the coal industry to its former glory. So
o consider what happened in the middle of December, after invest| consider what happened in the middle of December, after investo
ors had had a month to absorb the implications of Mr. Trump’s vi|rs had had a month to absorb the implications of Mr. Trump’s vic
ctory. The federal government opened bidding on a tract of the o|tory. The federal government opened bidding on a tract of the oc
cean floor off New York State as a potential site for a huge win|ean floor off New York State as a potential site for a huge wind
d farm. Up, up and away soared the offers — interest from the bi| farm. Up, up and away soared the offers — interest from the bid
dders was so fevered that the auction went through 33 rounds and|ders was so fevered that the auction went through 33 rounds and 
 spilled over to a second day. In the end, the winning bidder of|spilled over to a second day. In the end, the winning bidder off
fered the federal Treasury $42 million, more than twice what the|ered the federal Treasury $42 million, more than twice what the 
 government got in August for oil leases — oil leases — in the G|government got in August for oil leases — oil leases — in the Gu
ulf of Mexico. Who won the bid? None other than Statoil, the Nor|lf of Mexico. Who won the bid? None other than Statoil, the Norw
wegian oil company, which is in the midst of a major campaign to|egian oil company, which is in the midst of a major campaign to 
 turn itself into a big player in renewable energy. We do not kn|turn itself into a big player in renewable energy. We do not kno
ow for sure that the New York wind farm will get built, but we d|w for sure that the New York wind farm will get built, but we do
o know this: The energy transition is real, and Mr. Trump is not| know this: The energy transition is real, and Mr. Trump is not 
 going to stop it. On a global scale, more than half the investm|going to stop it. On a global scale, more than half the investme
ent in new electricity generation is going into renewable energy|nt in new electricity generation is going into renewable energy.
. That is more than $300 billion a year, a sign of how powerful | That is more than $300 billion a year, a sign of how powerful t
the momentum has become. Wind power is booming in the United Sta|he momentum has become. Wind power is booming in the United Stat
tes, with the industry adding manufacturing jobs in the reddest |es, with the industry adding manufacturing jobs in the reddest s
states. When Mr. Trump’s appointees examine the facts, they will|tates. When Mr. Trump’s appointees examine the facts, they will 
 learn that technician is projected to be the occupation in Amer|learn that technician is projected to be the occupation in Ameri
ica over the next decade. The election of Mr. Trump left climate|ca over the next decade. The election of Mr. Trump left climate 
 activists and environmental groups in despair. They had pinned |activists and environmental groups in despair. They had pinned t
their hopes on a Hillary Clinton victory and a continuation of P|heir hopes on a Hillary Clinton victory and a continuation of Pr
resident Obama’s strong push to tackle global warming. Now, of c|esident Obama’s strong push to tackle global warming. Now, of co
ourse, everything is in flux. In the worst case, with a sufficie|urse, everything is in flux. In the worst case, with a sufficien
ntly pliant Congress, Mr. Trump could roll back a decade of prog|tly pliant Congress, Mr. Trump could roll back a decade of progr
ress on climate change. Barring some miraculous conversion on Mr|ess on climate change. Barring some miraculous conversion on Mr.
. Trump’s part, his election cannot be interpreted as anything b| Trump’s part, his election cannot be interpreted as anything bu
ut bad news for the climate agenda. Yet despair might be an over|t bad news for the climate agenda. Yet despair might be an overr
reaction. For starters, when Mr. Trump gets to the White House, |eaction. For starters, when Mr. Trump gets to the White House, h
he will find that the federal government actually has relatively|e will find that the federal government actually has relatively 
 little control over American energy policy, and particularly ov|little control over American energy policy, and particularly ove
er electricity generation. The coal industry has been ravaged in|r electricity generation. The coal industry has been ravaged in 
 part by cheap natural gas, which is abundant because of technol|part by cheap natural gas, which is abundant because of technolo
ogical changes in the way it is produced, and there is no lever |gical changes in the way it is produced, and there is no lever i
in the Oval Office that Mr. Trump can pull to reverse that. The |n the Oval Office that Mr. Trump can pull to reverse that. The i
intrinsically weak federal role was a source of frustration for |ntrinsically weak federal role was a source of frustration for M
Mr. Obama and his aides, but now it will work to the benefit of |r. Obama and his aides, but now it will work to the benefit of e
environmental advocates. They have already persuaded more than h|nvironmental advocates. They have already persuaded more than ha
alf the states to adopt mandates on renewable energy. Efforts to|lf the states to adopt mandates on renewable energy. Efforts to 
 roll those back have largely failed, with the latest developmen|roll those back have largely failed, with the latest development
t coming only last week, when Gov. John Kasich of Ohio, a Republ| coming only last week, when Gov. John Kasich of Ohio, a Republi
ican, vetoed a rollback bill. The federal government does offer |can, vetoed a rollback bill. The federal government does offer i
important subsidies for renewable energy, and they will surely b|mportant subsidies for renewable energy, and they will surely be
ecome a target in the new Congress. But those subsidies are alre|come a target in the new Congress. But those subsidies are alrea
ady scheduled to fall drastically over five years, in a deal cut|dy scheduled to fall drastically over five years, in a deal cut 
 a year ago that gave the oil industry some favors and that pass|a year ago that gave the oil industry some favors and that passe
ed Congress with many Republican votes. If Mr. Trump pushes for |d Congress with many Republican votes. If Mr. Trump pushes for a
an early end to the subsidies, he will find that renewable energ|n early end to the subsidies, he will find that renewable energy
y has friends in the Republican Party. Topping that list is Char| has friends in the Republican Party. Topping that list is Charl
les E. Grassley, the senior senator from Iowa. That state — in p|es E. Grassley, the senior senator from Iowa. That state — in pr
residential politics, let us remember — will soon be getting 40 |esidential politics, let us remember — will soon be getting 40 p
percent of its electricity from wind power. “Senator Grassley ha|ercent of its electricity from wind power. “Senator Grassley has
s been and continues to be an extraordinary leader and champion | been and continues to be an extraordinary leader and champion f
for the wind industry,” said Tom Kiernan, the head of the Americ|or the wind industry,” said Tom Kiernan, the head of the America
an Wind Energy Association, a trade group. When I spoke with him|n Wind Energy Association, a trade group. When I spoke with him 
 last week, Mr. Kiernan did not sound like a man gnashing his te|last week, Mr. Kiernan did not sound like a man gnashing his tee
